Timestamp(ms),Current(uA)
39023.71,8.143
39023.72,8.099
39023.73,8.099
39023.74,8.055
39023.75,8.143
39023.76,7.968
39023.77,8.099
39023.78,8.055
39023.79,7.968
39023.8,7.880
39023.81,7.924
39023.82,7.837
39023.83,7.837
39023.84,7.968
39023.85,8.055
39023.86,8.231
39023.87,8.099
39023.88,7.924
39023.89,7.968
39023.9,8.012
39023.91,8.099
39023.92,8.143
39023.93,7.968
39023.94,8.012
39023.95,8.099
39023.96,8.012
39023.97,8.099
39023.98,7.968
39023.99,8.055
39024,7.880
39024.01,8.099
39024.02,7.793
39024.03,7.924
39024.04,8.012
39024.05,7.924
39024.06,7.837
39024.07,7.880
39024.08,7.793
39024.09,7.837
39024.1,7.880
39024.11,7.793
39024.12,7.880
39024.13,7.793
39024.14,7.880
39024.15,7.793
39024.16,7.749
39024.17,7.880
39024.18,7.793
39024.19,7.880
39024.2,7.924
39024.21,7.880
39024.22,8.012
39024.23,7.924
39024.24,7.793
39024.25,7.880
39024.26,7.880
39024.27,7.705
39024.28,7.793
39024.29,7.793
39024.3,7.837
39024.31,7.924
39024.32,7.924
39024.33,7.880
39024.34,7.705
39024.35,7.924
39024.36,7.705
39024.37,7.793
39024.38,7.662
39024.39,7.837
39024.4,7.924
39024.41,7.705
39024.42,7.880
39024.43,7.749
39024.44,7.880
39024.45,7.924
39024.46,8.012
39024.47,8.187
39024.48,7.968
39024.49,8.055
39024.5,8.187
39024.51,8.055
39024.52,8.143
39024.53,8.012
39024.54,7.968
39024.55,8.012
39024.56,7.880
39024.57,7.924
39024.58,7.924
39024.59,7.968
39024.6,8.012
39024.61,8.012
39024.62,8.274
39024.63,8.055
39024.64,8.012
39024.65,7.837
39024.66,8.187
39024.67,7.924
39024.68,8.012
39024.69,7.837
39024.7,7.749
39024.71,7.574
39024.72,7.705
39024.73,7.662
39024.74,7.705
39024.75,7.618
39024.76,7.749
39024.77,7.793
39024.78,7.705
39024.79,7.705
39024.8,7.837
39024.81,7.749
39024.82,7.880
39024.83,8.012
39024.84,8.012
39024.85,7.924
39024.86,7.880
39024.87,7.924
39024.88,7.793
39024.89,7.749
39024.9,7.793
39024.91,7.618
39024.92,7.749
39024.93,7.837
39024.94,7.749
39024.95,7.705
39024.96,7.749
39024.97,8.012
39024.98,8.012
39024.99,8.099
39025,8.187
39025.01,8.143
39025.02,8.143
39025.03,8.143
39025.04,8.099
39025.05,8.012
39025.06,8.012
39025.07,8.012
39025.08,8.099
39025.09,8.099
39025.1,8.012
39025.11,8.012
39025.12,8.099
39025.13,8.012
39025.14,7.924
39025.15,7.880
39025.16,7.880
39025.17,7.749
39025.18,7.793
39025.19,7.705
39025.2,7.837
39025.21,7.837
39025.22,7.793
39025.23,7.880
39025.24,7.793
39025.25,7.880
39025.26,7.793
39025.27,7.793
39025.28,7.749
39025.29,7.880
39025.3,7.793
39025.31,8.055
39025.32,8.143
39025.33,7.968
39025.34,8.187
39025.35,7.924
39025.36,7.749
39025.37,7.837
39025.38,7.793
39025.39,7.880
39025.4,7.880
39025.41,7.924
39025.42,7.793
39025.43,7.793
39025.44,7.793
39025.45,7.880
39025.46,7.793
39025.47,7.880
39025.48,7.924
39025.49,7.880
39025.5,7.968
39025.51,7.880
39025.52,7.793
39025.53,7.880
39025.54,7.924
39025.55,7.968
39025.56,7.968
39025.57,7.793
39025.58,7.924
39025.59,7.968
39025.6,7.880
39025.61,7.968
39025.62,7.793
39025.63,7.924
39025.64,7.880
39025.65,7.924
39025.66,8.055
39025.67,8.012
39025.68,8.012
39025.69,7.880
39025.7,8.012
39025.71,7.793
39025.72,7.793
39025.73,7.968
39025.74,7.880
39025.75,7.793
39025.76,7.837
39025.77,7.793
39025.78,7.793
39025.79,7.705
39025.8,7.793
39025.81,7.793
39025.82,7.618
39025.83,7.705
39025.84,7.705
39025.85,7.705
39025.86,7.793
39025.87,7.837
39025.88,7.880
39025.89,7.968
39025.9,7.793
39025.91,7.968
39025.92,7.880
39025.93,7.880
39025.94,7.837
39025.95,8.012
39025.96,7.880
39025.97,7.793
39025.98,7.749
39025.99,7.749
39026,7.837
39026.01,7.924
39026.02,7.837
39026.03,7.662
39026.04,7.662
39026.05,7.705
39026.06,7.880
39026.07,7.793
39026.08,7.749
39026.09,7.749
39026.1,7.837
39026.11,7.924
39026.12,8.099
39026.13,8.012
39026.14,8.012
39026.15,8.143
39026.16,8.143
39026.17,8.055
39026.18,8.187
39026.19,8.012
39026.2,8.143
39026.21,8.055
39026.22,7.968
39026.23,7.968
39026.24,7.793
39026.25,7.837
39026.26,7.880
39026.27,7.968
39026.28,8.055
39026.29,7.968
39026.3,8.012
39026.31,7.793
39026.32,7.968
39026.33,8.055
39026.34,7.924
39026.35,7.968
39026.36,7.924
39026.37,7.924
39026.38,7.880
39026.39,7.924
39026.4,7.837
39026.41,7.880
39026.42,7.968
39026.43,7.968
39026.44,7.793
39026.45,8.012
39026.46,7.793
39026.47,7.924
39026.48,7.924
39026.49,7.793
39026.5,7.880
39026.51,7.924
39026.52,7.880
39026.53,7.880
39026.54,7.837
39026.55,7.749
39026.56,7.749
39026.57,7.749
39026.58,7.793
39026.59,7.793
39026.6,7.793
39026.61,8.055
39026.62,7.837
39026.63,7.793
39026.64,7.793
39026.65,7.968
39026.66,8.012
39026.67,7.793
39026.68,7.880
39026.69,7.837
39026.7,7.880
39026.71,7.793
39026.72,7.793
39026.73,7.793
39026.74,7.880
39026.75,7.924
39026.76,7.880
39026.77,8.055
39026.78,7.924
39026.79,8.012
39026.8,7.793
39026.81,8.012
39026.82,7.880
39026.83,8.231
39026.84,8.055
39026.85,8.055
39026.86,7.880
